County, FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3142 counties)
United States,0,8.9,7181779,N/A
California,6000,8.7,791378,31 of 51
Imperial County,6025,18,6071,"2,887"
Tulare County,6107,16.4,17845,"2,783"
Merced County,6047,16.3,10093,"2,777"
Fresno County,6019,16.1,36437,"2,756"
Kern County,6029,15.6,31709,"2,707"
Madera County,6039,14.6,5019,"2,613"
Kings County,6031,13.8,4672,"2,512"
Trinity County,6105,12.9,365,"2,400"
Tehama County,6103,12.6,2096,"2,347"
Yuba County,6115,11.8,2222,"2,191"
Del Norte County,6015,11.8,734,"2,182"
Modoc County,6049,11.6,258,"2,146"
Lake County,6033,11.6,1862,"2,135"
Mendocino County,6045,11.5,2390,"2,119"
San Bernardino County,6071,11.3,56022,"2,069"
Humboldt County,6023,11.1,3231,"2,034"
Glenn County,6021,10.8,759,"1,960"
Colusa County,6011,10.8,535,"1,958"
Stanislaus County,6099,10.6,13882,"1,918"
Sutter County,6101,10.6,2476,"1,898"
San Joaquin County,6077,10.5,18516,"1,889"
Butte County,6007,10.5,5366,"1,886"
Lassen County,6035,10.4,640,"1,855"
Los Angeles County,6037,10.2,226414,"1,818"
Siskiyou County,6093,9.9,1088,"1,737"
Calaveras County,6009,9.8,1212,"1,730"
Sacramento County,6067,9.6,35387,"1,658"
Riverside County,6065,9.1,49607,"1,524"
Shasta County,6089,9,4180,"1,494"
Monterey County,6053,8.9,8407,"1,468"
Mono County,6051,7.8,253,"1,148"
Mariposa County,6043,7.7,345,"1,126"
Inyo County,6027,7.5,329,"1,059"
Santa Barbara County,6083,7.4,7192,"1,049"
Yolo County,6113,7.3,3529,"1,019"
San Diego County,6073,7.2,54821,981
Plumas County,6063,7,365,935
Orange County,6059,7,52548,923
Alpine County,6003,6.3,18,713
Ventura County,6111,6.2,12278,692
Solano County,6095,6.2,6768,688
San Luis Obispo County,6079,6,4094,635
San Benito County,6069,5.9,905,609
Nevada County,6057,5.9,1540,606
El Dorado County,6017,5.9,3062,596
Santa Cruz County,6087,5.9,3595,586
Contra Costa County,6013,5.9,17046,584
Tuolumne County,6109,5.7,797,550
San Francisco County,6075,5.6,9586,525
Alameda County,6001,5.5,21336,508
Napa County,6055,5.1,1715,427
Sonoma County,6097,5.1,6108,412
Placer County,6061,4.8,5071,343
Amador County,6005,4.4,436,267
Santa Clara County,6085,4,18560,213
San Mateo County,6081,3.8,7092,180
Marin County,6041,3.8,2471,167
Sierra County,6091,3.2,23,92
